Field [T],Resistance_xx [Ω],Resistance_xy [Ω],Resistivity_xx [m*Ω],Resistivity_xy [m*Ω],Resistivity_xy_linHall [m*Ω],Resistivity_xy_2bnd [m*Ω],Resistivity_xx_2bnd [m*Ω]
-13.9825,21.7327,-2.1238,1.7386E-05,-8.4952E-07,-1.0754E-06,-8.5473E-07,1.7400E-05
-13.1075,21.6591,-1.9762,1.7327E-05,-7.9048E-07,-1.0151E-06,-7.9090E-07,1.7333E-05
-12.2325,21.5924,-1.8216,1.7274E-05,-7.2864E-07,-9.5491E-07,-7.2901E-07,1.7270E-05
-11.3575,21.5188,-1.6757,1.7215E-05,-6.7028E-07,-8.9467E-07,-6.6896E-07,1.7211E-05
-10.4825,21.4505,-1.5292,1.7160E-05,-6.1168E-07,-8.3443E-07,-6.1064E-07,1.7156E-05
-9.6075,21.3901,-1.3866,1.7112E-05,-5.5464E-07,-7.7419E-07,-5.5391E-07,1.7105E-05
-8.7325,21.3305,-1.248,1.7064E-05,-4.9920E-07,-7.1395E-07,-4.9867E-07,1.7058E-05
-7.8575,21.2684,-1.1162,1.7015E-05,-4.4648E-07,-6.5371E-07,-4.4478E-07,1.7016E-05
-6.9825,21.2134,-0.9886,1.6971E-05,-3.9544E-07,-5.9347E-07,-3.9213E-07,1.6978E-05
-6.1075,21.1713,-0.861,1.6937E-05,-3.4440E-07,-5.3323E-07,-3.4057E-07,1.6944E-05
-5.2325,21.1467,-0.7401,1.6917E-05,-2.9604E-07,-4.7299E-07,-2.8997E-07,1.6915E-05
-4.3575,21.4263,-0.6085,1.7141E-05,-2.4340E-07,-4.1275E-07,-2.4021E-07,1.6890E-05
-3.4825,21.6533,-0.4571,1.7323E-05,-1.8284E-07,-3.5251E-07,-1.9114E-07,1.6869E-05
-2.6075,21.7528,-0.3252,1.7402E-05,-1.3008E-07,-2.9227E-07,-1.4263E-07,1.6854E-05
-1.7325,21.802,-0.211,1.7442E-05,-8.4400E-08,-2.3203E-07,-9.4539E-08,1.6842E-05
-0.8575,21.8348,-0.1012,1.7468E-05,-4.0480E-08,-1.7179E-07,-4.6724E-08,1.6835E-05
0.0175,21.8451,0.0019,1.7476E-05,7.6000E-10,-1.1155E-07,9.5310E-10,1.6833E-05
0.8925,21.8335,0.1046,1.7467E-05,4.1840E-08,-5.1307E-08,4.8633E-08,1.6836E-05
1.7675,21.8014,0.2154,1.7441E-05,8.6160E-08,8.9333E-09,9.6456E-08,1.6843E-05
2.6425,21.7508,0.3307,1.7401E-05,1.3228E-07,6.9173E-08,1.4456E-07,1.6854E-05
3.5175,21.6474,0.4638,1.7318E-05,1.8552E-07,1.2941E-07,1.9309E-07,1.6870E-05
4.3925,21.4089,0.6149,1.7127E-05,2.4596E-07,1.8965E-07,2.4219E-07,1.6891E-05
5.2675,21.1462,0.745,1.6917E-05,2.9800E-07,2.4989E-07,2.9198E-07,1.6916E-05
6.1425,21.1712,0.8674,1.6937E-05,3.4696E-07,3.1013E-07,3.4261E-07,1.6945E-05
7.0175,21.2157,0.9925,1.6973E-05,3.9700E-07,3.7037E-07,3.9421E-07,1.6979E-05
7.8925,21.2692,1.1206,1.7015E-05,4.4824E-07,4.3061E-07,4.4692E-07,1.7017E-05
8.7675,21.3333,1.253,1.7067E-05,5.0120E-07,4.9085E-07,5.0085E-07,1.7060E-05
9.6425,21.3929,1.3912,1.7114E-05,5.5648E-07,5.5109E-07,5.5615E-07,1.7107E-05
10.5175,21.453,1.5341,1.7162E-05,6.1364E-07,6.1133E-07,6.1294E-07,1.7158E-05
11.3925,21.5237,1.6793,1.7219E-05,6.7172E-07,6.7157E-07,6.7133E-07,1.7213E-05
12.2675,21.5943,1.8288,1.7275E-05,7.3152E-07,7.3181E-07,7.3145E-07,1.7272E-05
13.1425,21.6658,1.9805,1.7333E-05,7.9220E-07,7.9205E-07,7.9341E-07,1.7336E-05
