Field [T],Resistance [Ω],rho_xx [m*Ω],rho_xx_2bnd_he [m*Ω]
-13.9825,21.7327,1.7386e-05,1.74e-05
-13.1075,21.6591,1.7327e-05,1.7333e-05
-12.2325,21.5924,1.7274e-05,1.727e-05
-11.3575,21.5188,1.7215e-05,1.7211e-05
-10.4825,21.4505,1.716e-05,1.7156e-05
-9.6075,21.3901,1.7112e-05,1.7105e-05
-8.7325,21.3305,1.7064e-05,1.7058e-05
-7.8575,21.2684,1.7015e-05,1.7016e-05
-6.9825,21.2134,1.6971e-05,1.6978e-05
-6.1075,21.1713,1.6937e-05,1.6944e-05
-5.2325,21.1467,1.6917e-05,1.6915e-05
-4.3575,21.4263,1.7141e-05,1.689e-05
-3.4825,21.6533,1.7323e-05,1.6869e-05
-2.6075,21.7528,1.7402e-05,1.6854e-05
-1.7325,21.802,1.7442e-05,1.6842e-05
-0.8575,21.8348,1.7468e-05,1.6835e-05
0.0175,21.8451,1.7476e-05,1.6833e-05
0.8925,21.8335,1.7467e-05,1.6836e-05
1.7675,21.8014,1.7441e-05,1.6843e-05
2.6425,21.7508,1.7401e-05,1.6854e-05
3.5175,21.6474,1.7318e-05,1.687e-05
4.3925,21.4089,1.7127e-05,1.6891e-05
5.2675,21.1462,1.6917e-05,1.6916e-05
6.1425,21.1712,1.6937e-05,1.6945e-05
7.0175,21.2157,1.6973e-05,1.6979e-05
7.8925,21.2692,1.7015e-05,1.7017e-05
8.7675,21.3333,1.7067e-05,1.706e-05
9.6425,21.3929,1.7114e-05,1.7107e-05
10.5175,21.453,1.7162e-05,1.7158e-05
11.3925,21.5237,1.7219e-05,1.7213e-05
12.2675,21.5943,1.7275e-05,1.7272e-05
13.1425,21.6658,1.7333e-05,1.7336e-05
