Field (T),Resistance (ohm)
12.5982,22.1935
6.6225,22.0965
10.6548,22.1137
11.8868,22.1666
-11.4813,22.1525
2.8468,22.4258
-4.8695,22.2128
-12.0734,22.1771
8.6305,22.0853
-8.4897,22.0839
5.1213,22.1953
-12.2455,22.1842
13.4207,22.2347
8.7406,22.0719
-13.3060,22.2226
9.5792,22.1031
-9.8294,22.0992
-6.6584,22.1036
9.2785,22.0945
-3.9275,22.3051
-8.6768,22.0896
12.7559,22.1895
-9.9705,22.1016
4.7095,22.2043
2.1376,22.5369
13.5943,22.2203
-1.0541,22.6776
4.3775,22.2432
9.2946,22.0786
-9.3616,22.0852
