Field (T),Resistance (ohm)
-11.1741,21.5761
3.1811,21.8413
-10.0401,21.5106
-1.7097,21.9678
11.0969,21.5491
-13.9955,21.7940
-7.1871,21.3508
-3.6252,21.7651
-9.2368,21.4446
2.9302,21.8615
-9.8355,21.4848
-7.9431,21.3738
-13.8857,21.7697
-13.6172,21.7384
6.9075,21.3358
13.7570,21.7415
9.1527,21.4484
-6.2413,21.3298
-3.0763,21.8572
-6.5875,21.3249
-12.8452,21.6939
4.0420,21.6539
8.8735,21.4349
12.6835,21.6705
-7.9912,21.3795
-2.4787,21.9127
4.8718,21.3233
3.6652,21.7564
6.8293,21.3261
-2.8710,21.8824
