Field (T),Resistance Ch1 (Ohms)
-11.8544,-0.1767
13.2641,-0.0510
1.1953,-0.2017
6.2125,-0.0311
3.7934,-0.0453
-11.4027,-0.1732
10.1485,-0.0398
6.4177,-0.0427
-12.2761,-0.1801
-11.3709,-0.1762
12.0928,-0.0610
3.1314,-0.0883
4.9784,-0.0403
-2.1519,-0.1716
14.0000,-0.0425
-3.7224,-0.0750
9.2633,-0.0303
2.5016,-0.1456
-8.8311,-0.1185
-9.0333,-0.1397
7.8884,-0.0361
-5.8568,-0.0804
-13.3510,-0.1975
4.3470,-0.0377
8.4738,-0.0363
-0.2675,-0.2201
-9.2203,-0.1347
13.6588,-0.0508
1.0057,-0.2092
13.7063,-0.0435
